R,G,B,W
2706,3009,2654,9135
150,152,154,148
2672,2973,2630,9026
2644,2940,2608,8937
2611,2902,2582,8831
2578,2863,2555,8723
2544,2823,2526,8612
2508,2782,2495,8494
2472,2741,2464,8377
2439,2702,2436,8270
2409,2665,2410,8173
2379,2632,2386,8074
2350,2603,2365,7980
2324,2579,2345,7895
2315,2576,2341,7868
2336,2602,2364,7920
2354,2618,2381,7978
2376,2641,2402,8057
2413,2686,2431,8174
2470,2752,2486,8360
2500,2783,2511,8453
2500,2777,2510,8454
2471,2742,2489,8365
2458,2721,2475,8332
2507,2782,2511,8518
2458,2732,2474,8364
2395,2655,2424,8163
2339,2585,2385,7989
2283,2518,2344,7817
2211,2473,2313,7584
2192,2422,2276,7523
2177,2419,2267,7482
2219,2469,2304,7611
2291,2566,2366,7843
2333,2622,2398,8004
2427,2727,2477,8309
2697,3038,2682,9175
2923,3314,2856,9892
2914,3306,2850,9866
2911,3301,2846,9853
2906,3295,2842,9837
2900,3286,2836,9816
2889,3274,2828,9783
2878,3259,2818,9746
2867,3246,2808,9710
2857,3233,2799,9676
2847,3219,2788,9641
2837,3207,2777,9606
2826,3195,2769,9569
2809,3177,2757,9516
2788,3158,2742,9444
2771,3131,2723,9368
2746,3094,2693,9289
2713,3052,2666,9170
2683,3013,2643,9065
2651,2968,2618,8954
2609,2913,2582,8821
2569,2864,2550,8694
2526,2812,2515,8557
2485,2763,2482,8422
2462,2735,2470,8354
2441,2707,2449,8285
2408,2670,2425,8193
2372,2633,2397,8090
2377,2641,2405,8115
2417,2693,2459,8263
2444,2731,2482,8347
2511,2819,2534,8586
2643,2992,2641,9019
2788,3175,2764,9509
2995,3420,2926,10155
150,152,154,148
150,152,154,148
2995,3422,2924,10155
2994,3421,2923,10156
2993,3419,2924,10156
2989,3415,2922,10144
2989,3416,2922,10139
2993,3420,2923,10142
2996,3422,2924,10151
2998,3423,2925,10158
3000,3424,2926,10164
3002,3425,2927,10170
3002,3425,2929,10177
3002,3421,2930,10178
2995,3413,2926,10165
2976,3392,2910,10113
2950,3370,2894,10032
2928,3347,2878,9967
2908,3322,2860,9901
2889,3300,2846,9838
2895,3306,2852,9836
2903,3306,2859,9870
2895,3294,2854,9850
2883,3284,2846,9808
2890,3301,2853,9820
2901,3314,2861,9858
2901,3313,2862,9859
2884,3293,2851,9809
2839,3245,2819,9670
2788,3184,2781,9523
2694,3085,2706,9054
2798,3202,2787,9529
2620,3000,2663,8976
2595,2971,2632,8887
150,152,154,148
2674,3057,2687,9137
3064,3510,2973,10392
3110,3566,3007,10539
3114,3569,3011,10550
3114,3571,3012,10551
3113,3570,3013,10550
3114,3570,3015,10550
3111,3567,3011,10535
3108,3566,3008,10526
3106,3564,3006,10533
3111,3567,3010,10549
3112,3570,3013,10543
3111,3570,3014,10540
3103,3562,3007,10515
3097,3555,2999,10502
3103,3564,3007,10525
3120,3582,3023,10578
150,152,154,148
150,152,154,148
150,152,154,148
3127,3595,3026,10602
3131,3596,3027,10620
3135,3598,3028,10630
3146,3611,3035,10655
3151,3616,3040,10671
3156,3623,3046,10684
3140,3610,3032,10637
3149,3617,3034,10661
3168,3636,3050,10727
3164,3637,3057,10723
3163,3640,3059,10728
150,152,154,148
150,152,154,148
150,152,154,148
150,152,154,148
150,3693,3093,148
3229,3710,3103,10918
3236,3718,3109,10939
3238,3720,3112,10948
3244,3727,3116,10964
3253,3737,3121,10990
3262,3749,3131,11023
3267,3754,3136,11044
